Cow ID,Age,Temp,Time Block,DATE,START,END,INTERVAL,Eating,Standing,Rumin,Lying,L/S Transit,Estrus Status,Mounted/Hr.,Mounting/hr.
1158,11,69,4,6/2/22,6/2/2022 18:09:04,6/2/2022 18:15:20,0:06:17,1,1,0,0,0,0,0,0
1158,11,69,4,6/2/22,6/2/2022 18:15:21,6/2/2022 18:17:01,0:01:41,0,1,0,0,0,0,0,0
1158,11,69,4,6/2/22,6/2/2022 18:17:02,6/2/2022 18:59:59,0:42:58,1,1,0,0,0,0,0,0
1158,11,68.5,4,6/2/22,6/2/2022 19:00:00,6/2/2022 19:59:59,1:00:00,1,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:00:00,6/2/2022 20:03:27,0:03:28,1,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:03:28,6/2/2022 20:04:33,0:01:06,0,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:04:34,6/2/2022 20:05:07,0:00:34,1,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:05:08,6/2/2022 20:15:01,0:09:54,0,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:15:02,6/2/2022 20:18:34,0:03:33,1,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:18:35,6/2/2022 20:34:41,0:16:07,0,1,0,0,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:34:42,6/2/2022 20:34:46,0:00:05,0,0,0,0,1,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:34:47,6/2/2022 20:38:15,0:03:29,0,0,0,1,0,0,0,0
1158,11,64.5,4,6/2/22,6/2/2022 20:38:16,6/2/2022 20:59:59,0:21:44,1,1,0,0,0,0,0,0
