Cow ID,Age,Temp,Time Block,DATE,START,END,DURATION,Eating,Standing,Rumin,Lying,L/S Transit,Estrus Status,Mounted/Hr,Mounting/Hr
1107,11,66,3,6/2/22,6/2/2022 17:14:01,6/2/2022 17:32:26,0:18:26,0,0,1,1,0,0,0,0
1107,11,66,3,6/2/22,6/2/2022 17:32:27,6/2/2022 17:59:59,0:27:33,0,0,0,1,0,0,0,0
1107,11,69,4,6/2/22,6/2/2022 18:00:00,6/2/2022 18:22:37,0:22:38,0,0,0,1,0,0,0,0
1107,11,69,4,6/2/22,6/2/2022 18:22:38,6/2/2022 18:22:41,0:00:04,0,0,0,0,1,0,0,0
1107,11,69,4,6/2/22,6/2/2022 18:22:42,6/2/2022 18:25:42,0:03:01,0,1,0,0,0,0,0,0
1107,11,69,4,6/2/22,6/2/2022 18:25:43,6/2/2022 18:59:59,0:34:17,1,1,0,0,0,0,0,0
1107,11,68.5,4,6/2/22,6/2/2022 19:00:00,6/2/2022 19:05:19,0:05:20,1,1,0,0,0,0,0,0
1107,11,68.5,4,6/2/22,6/2/2022 19:05:20,6/2/2022 19:06:55,0:01:36,0,1,0,0,0,0,0,0
1107,11,68.5,4,6/2/22,6/2/2022 19:06:56,6/2/2022 19:33:15,0:26:20,1,1,0,0,0,0,0,0
1107,11,68.5,4,6/2/22,6/2/2022 19:33:16,6/2/2022 19:35:38,0:02:23,0,1,0,0,0,0,0,0
1107,11,68.5,4,6/2/22,6/2/2022 19:35:39,6/2/2022 19:59:59,0:24:21,1,1,0,0,0,0,0,0
1107,11,64.5,4,6/2/22,6/2/2022 20:00:00,6/2/2022 20:42:30,0:42:31,1,1,0,0,0,0,0,0
1107,11,64.5,4,6/2/22,6/2/2022 20:42:31,6/2/2022 20:43:25,0:00:55,0,1,0,0,0,0,0,0
1107,11,64.5,4,6/2/22,6/2/2022 20:43:26,6/2/2022 20:59:59,0:16:34,1,1,0,0,0,0,0,0
1107,11,57,2,6/4/22,6/4/2022 7:00:00,6/4/2022 7:58:05,0:58:06,0,1,1,0,0,0,0,0
1107,11,57,2,6/4/22,6/4/2022 7:58:06,6/4/2022 7:59:59,0:01:54,0,1,0,0,0,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:00:00,6/4/2022 8:33:28,0:33:29,0,1,0,0,0,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:33:29,6/4/2022 8:52:59,0:19:31,0,1,1,0,0,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:53:00,6/4/2022 8:53:05,0:00:06,0,0,0,0,1,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:53:06,6/4/2022 8:56:33,0:03:28,0,0,1,1,0,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:56:34,6/4/2022 8:56:37,0:00:04,0,0,0,0,1,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:56:38,6/4/2022 8:57:45,0:01:08,0,1,1,0,0,0,0,0
1107,11,60,2,6/4/22,6/4/2022 8:57:46,6/4/2022 8:59:59,0:02:14,0,1,0,0,0,0,0,0
1107,11,65,2,6/4/22,6/4/2022 9:00:00,6/4/2022 9:20:08,0:20:09,0,1,0,0,0,0,0,0
1107,11,65,2,6/4/22,6/4/2022 9:20:09,6/4/2022 9:20:13,0:00:05,0,0,0,0,1,0,0,0
1107,11,65,2,6/4/22,6/4/2022 9:20:14,6/4/2022 9:25:56,0:05:43,0,0,0,1,0,0,0,0
1107,11,65,2,6/4/22,6/4/2022 9:25:57,6/4/2022 9:47:32,0:21:36,0,0,1,1,0,0,0,0
1107,11,65,2,6/4/22,6/4/2022 9:47:33,6/4/2022 9:59:59,0:12:27,0,0,0,1,0,0,0,0
1107,11,71,2,6/4/22,6/4/2022 10:00:00,6/4/2022 10:35:55,0:35:56,0,0,0,1,0,0,0,0
1107,11,71,2,6/4/22,6/4/2022 10:35:56,6/4/2022 10:49:09,0:13:14,0,0,1,1,0,0,0,0
1107,11,71,2,6/4/22,6/4/2022 10:49:10,6/4/2022 10:49:16,0:00:07,0,0,0,0,1,0,0,0
1107,11,71,2,6/4/22,6/4/2022 10:49:17,6/4/2022 10:54:53,0:05:37,0,1,1,0,0,0,0,0
1107,11,71,2,6/4/22,6/4/2022 10:54:54,6/4/2022 10:59:59,0:05:06,0,1,0,0,0,0,0,0
1107,11,75,2,6/4/22,6/4/2022 11:00:00,6/4/2022 11:07:06,0:07:07,0,1,0,0,0,0,0,0
1107,11,75,2,6/4/22,6/4/2022 11:07:07,6/4/2022 11:45:14,0:38:08,1,1,0,0,0,0,0,0
1107,11,75,2,6/4/22,6/4/2022 11:45:15,6/4/2022 11:55:50,0:10:36,0,1,0,0,0,0,0,0
1107,11,75,2,6/4/22,6/4/2022 11:55:51,6/4/2022 11:59:59,0:04:09,0,1,1,0,0,0,0,0
1107,11,78,3,6/4/22,6/4/2022 12:00:00,6/4/2022 12:23:54,0:23:55,0,1,1,0,0,0,0,0
1107,11,78,3,6/4/22,6/4/2022 12:23:55,6/4/2022 12:24:15,0:00:21,0,1,0,0,0,0,0,0
1107,11,78,3,6/4/22,6/4/2022 12:24:16,6/4/2022 12:24:21,0:00:06,0,0,0,0,1,0,0,0
1107,11,78,3,6/4/22,6/4/2022 12:24:22,6/4/2022 12:55:00,0:30:39,0,0,0,1,0,0,0,0
1107,11,78,3,6/4/22,6/4/2022 12:55:01,6/4/2022 12:59:59,0:04:59,0,0,1,1,0,0,0,0
1107,11,81,3,6/4/22,6/4/2022 13:00:00,6/4/2022 13:11:10,0:11:11,0,0,1,1,0,0,0,0
1107,11,81,3,6/4/22,6/4/2022 13:11:11,6/4/2022 13:19:40,0:08:30,0,0,0,1,0,0,0,0
1107,11,81,3,6/4/22,6/4/2022 13:19:41,6/4/2022 13:19:47,0:00:07,0,0,0,0,1,0,0,0
1107,11,81,3,6/4/22,6/4/2022 13:19:48,6/4/2022 13:30:29,0:10:42,0,1,0,0,0,0,0,0
1107,11,81,3,6/4/22,6/4/2022 13:30:30,6/4/2022 13:59:59,0:29:30,1,1,0,0,0,0,0,0
1107,11,83.5,3,6/4/22,6/4/2022 14:00:00,6/4/2022 14:36:45,0:36:46,1,1,0,0,0,0,0,0
1107,11,83.5,3,6/4/22,6/4/2022 14:36:46,6/4/2022 14:37:49,0:01:04,0,1,0,0,0,0,0,0
1107,11,83.5,3,6/4/22,6/4/2022 14:37:50,6/4/2022 14:59:59,0:22:10,1,1,0,0,0,0,0,0
1107,11,85.5,3,6/4/22,6/4/2022 15:00:00,6/4/2022 15:58:28,0:58:29,1,1,0,0,0,0,0,0
1107,11,85.5,3,6/4/22,6/4/2022 15:58:29,6/4/2022 15:59:59,0:01:31,0,1,0,0,0,0,0,0
1107,11,87.5,3,6/4/22,6/4/2022 16:00:00,6/4/2022 16:08:36,0:08:37,0,1,0,0,0,0,0,0
1107,11,87.5,3,6/4/22,6/4/2022 16:08:37,6/4/2022 16:08:42,0:00:06,0,0,0,0,1,0,0,0
1107,11,87.5,3,6/4/22,6/4/2022 16:08:43,6/4/2022 16:14:00,0:05:18,0,0,0,1,0,0,0,0
1107,11,87.5,3,6/4/22,6/4/2022 16:14:01,6/4/2022 16:41:32,0:27:32,0,0,1,1,0,0,0,0
1107,11,87.5,3,6/4/22,6/4/2022 16:41:33,6/4/2022 16:59:59,0:18:27,0,0,0,1,0,0,0,0
1107,11,88.5,3,6/4/22,6/4/2022 17:00:00,6/4/2022 17:20:19,0:20:20,0,0,0,1,0,0,0,0
1107,11,88.5,3,6/4/22,6/4/2022 17:20:20,6/4/2022 17:43:05,0:22:46,0,0,1,1,0,0,0,0
1107,11,88.5,3,6/4/22,6/4/2022 17:43:06,6/4/2022 17:54:07,0:11:02,0,0,0,1,0,0,0,0
1107,11,88.5,3,6/4/22,6/4/2022 17:54:08,6/4/2022 17:54:13,0:00:06,0,0,0,0,1,0,0,0
1107,11,88.5,3,6/4/22,6/4/2022 17:54:14,6/4/2022 17:59:59,0:05:46,0,1,0,0,0,0,0,0
1107,11,89,4,6/4/22,6/4/2022 18:00:00,6/4/2022 18:16:36,0:16:37,0,1,0,0,0,0,0,0
1107,11,89,4,6/4/22,6/4/2022 18:16:37,6/4/2022 18:34:05,0:17:29,0,1,1,0,0,0,0,0
1107,11,89,4,6/4/22,6/4/2022 18:34:06,6/4/2022 18:45:41,0:11:36,0,1,0,0,0,0,0,0
1107,11,89,4,6/4/22,6/4/2022 18:45:42,6/4/2022 18:57:22,0:11:41,1,1,0,0,0,0,0,0
1107,11,89,4,6/4/22,6/4/2022 18:57:23,6/4/2022 18:59:59,0:02:37,0,1,0,0,0,0,0,0
1107,11,86.5,4,6/4/22,6/4/2022 19:00:00,6/4/2022 19:04:34,0:04:35,0,1,0,0,0,0,0,0
1107,11,86.5,4,6/4/22,6/4/2022 19:04:35,6/4/2022 19:33:30,0:28:56,1,1,0,0,0,0,0,0
1107,11,86.5,4,6/4/22,6/4/2022 19:33:31,6/4/2022 19:33:50,0:00:20,0,1,0,0,0,0,0,0
1107,11,86.5,4,6/4/22,6/4/2022 19:33:51,6/4/2022 19:36:32,0:02:42,1,1,0,0,0,0,0,0
